Event-id,Event Name,claim-id,claim-url,claim-category,claim-text,claim-goldevidence
eid116,President Asif Ali Zardari,c116,https://tribune.com.pk/story/2537463/president-asif-ali-zardari-hospitalised-in-karachi,health,President Asif Ali Zardari hospitalised in Karachi,g116
eid117,Night travel,c117,"https://www.dawn.com/news/1901307#:~:text=The%20Balochistan%20government%20has%20banned,situation%2C%20it%20emerged%20on%20Sunday.",social,"The Balochistan government has banned night-time travel — mostly for public transport — on major highways in several districts amid a deteriorating security situation, it emerged on Sunday.",g117
eid118,c flight PK-306 ,c118,https://www.dawn.com/news/1897928,social,PIA aircraft’s missing wheel found at Karachi airport,g118
eid119,Eid-ul-fitar,c119,https://www.dawn.com/news/1898930,cultural,"The government has announced a three-day holiday for Eidul Fitr from March 31 to April 2, according to a notification issued on Wednesday.",g119
eid120,Maryam Nawaz,c120,https://www.thenews.com.pk/print/1297784-maryam-orders-comprehensive-development-of-rawalpindi-division,political,"Chief Minister Punjab Maryam Nawaz has ordered for comprehensive development and beautification of the entire Rawalpindi Division, with a special focus on cleanliness, park improvements and removal of encroachments.",g120
eid121,hailstorm,c121,https://www.dawn.com/news/1904758,wheather,5 dead as freak hailstorm upends life in country’s north,g121
eid122,KFC massacare,c122,https://www.dawn.com/news/1904524,health,Fast-food chain worker killed in Punjab’s Sheikhupura,g122
eid123,earthquake,c123,https://dunyanews.tv/en/Pakistan/878250-55-magnitude-earthquake-jolts-islamabad-lahore-and-other-parts-of-pa,natural diseaster,"5.5 magnitude earthquake jolts Islamabad, Lahore and other parts of Pakistan",g123
eid124,arshad nadeem,c124,https://www.sochfactcheck.com/did-arshad-nadeem-really-receive-a-cheque-for-rs2000/,education,"Federal Urdu University awarded Arshad Nadeem with Rs2,000. ",g124
eid125,arshad nadeem,c125,https://www.sochfactcheck.com/arshad-nadeem-did-not-hug-maryam-nawaz-during-her-visit-to-mian-channu/,sports,Arshad Nadeem hugged Maryam Nawaz when she visited the athlete’s residence to congratulate him on his victory in the 2024 Olympics.,g125
eid126,arshad nadeem,c126,https://jang.com.pk/news/1378675,sports,"???? ???? ?? ????? ?? ????? ??? ?????? ???????? ?? ?????? ??? ???? ???? 92.97 ???? ???? ?? ???? ????? ?? ?????? ???? ?? ????? ?????? ??? ?? ?????? ?? ????? ??? ???? ??? ?????????

????? ?? 16 ??? ??? ????? ??? ????? ?? ???????? ?????????? ?? ????? ??????? 2008 ??? 90.57 ???? ?? ???? ?? ?????? ?????? ?????",g126
eid127,arshad nadeem,c127,https://sirfpakistan.net/2024/08/11/the-best-diplomacy-comes-from-these-two-mothers-not-modi-neither-shahbaz/,sports,"In an interview following her son’s gold medal win at the Olympics 2024, Arshad Nadeem’s mother described Neeraj Chopra as like a son to her, expressing that he is both a friend and a brother to Arshad.",g127
eid128,arshad nadeem,c128,https://indianexpress.com/article/sports/sport-others/neeraj-chopra-arshad-nadeem-friendship-olympics-india-pakistan-9505555/,sports,"Fierce rivals, good friends and podium finish: The Neeraj-Arshad show has a ‘big message’ for India, Pakistan youth",g128
eid129,arshad nadeem,c129,https://www.dawn.com/news/1855588,sports,ISLAMABAD: President Asif Ali Zardari conferred the Hilal-i-Imtiaz upon Olympic javelin throw champion Arshad Nadeem on Thursday in recognition of his gold medal-winning performance in recent Paris Olympics.,g129
eid130,arshad nadeem,c130,https://urdu.geo.tv/latest/375341-,sports,????? ?????????  (?? ??? ???) ?????? ???? ???? ??  ???? ??????? ??? ??????? ?? ???? ???? ?????? ???? ??????? ???? ???? ?? ??? ?? ????? ????? ????,g130
eid131,arshad nadeem,c131,https://jang.com.pk/news/1385794,sports,????????? ?????? ?????? ???? ???? ?? 15 ???? ???? ??? ????? ???,g131
eid132,arshad nadeem,c132,https://www.aaj.tv/news/30404398,sports,???? ????? ?? ?? ?? ???? ???? ?? ???? ??? ?? 50 ???? ???? ???? ????? ???? ?? ?????,g132
eid133,arshad nadeem,c133,https://dunyanews.tv/en/Sports/833404-olympian-arshad-nadeem-receives-car-gift-from-private-motor-company,sports,Olympian Arshad Nadeem receives car gift from private motor company,g133
eid134,arshad nadeem,c134,https://www.dialoguepakistan.com/en/sports/i-prayed-for-my-husband-s-success-for-three-days-without-sleep--says-arshad-nadeem-s-wife,religion,"""I prayed for my husband's success for three days without sleep"", says Arshad Nadeem's wife",g134
eid135,arshad nadeem,c135,https://www.dawn.com/news/1851583,sports,Javelin superstar Arshad Nadeem arrived in his hometown Mian Channu to a hero’s welcome on Sunday afternoon as crowds gathered to meet the Olympic champion.,g135
eid136,arshad nadeem,c136,http://archive.wapda.gov.pk/index.php/newsmedia/sports-news/689-wapda-athlete-arshad-nadeem-once-again-made-the-nation-proud,sports,Arshad Nadeem Motivational speech for youngster at WAPDA house Lahore,g136
eid137,arshad nadeem,c137,"https://urdu.geo.tv/latest/375359-#:~:text=%D9%82%D9%88%D9%85%DB%8C%20%DB%81%DB%8C%D8%B1%D9%88%20%D8%A7%D8%B1%D8%B4%D8%AF%20%D9%86%D8%AF%DB%8C%D9%85%20%D9%BE%DB%8C%D8%B1%D8%B3,%DA%A9%DB%8C%D9%86%D9%86%20%D8%B3%D9%84%DB%8C%D9%88%D9%B9%20%D9%BE%DB%8C%D8%B4%20%DA%A9%DB%8C%D8%A7%20%DA%AF%DB%8C%D8%A7%DB%94",sports,???? ???? ???? ???? ?? ????? ?? ??? ????? ?? ????? ???? ???? ????? ???,g137
eid138,arshad shreef,c138,https://tribune.com.pk/story/2383483/arshad-sharif-receives-heros-welcome-as-body-reaches-pakistan,social,Several citizens and activists stood in solidarity as they mourned Sharif's death.,g138
eid139,arshad shreef,c139,https://www.brecorder.com/news/40205536,religion,The funeral prayers of senior journalist Arshad Sharif were offered at Shah Faisal Mosque in Islamabad on Thursday.,g139
eid140,arshad shreef,c140,https://www.npr.org/2022/10/24/1131007311/arshad-sharif-pakistani-journalist-killed-by-police-kenya,social,This is the video of #arshadshareef a few days before he left Pakistan. ,g140
eid141,arshad shreef,c141,https://tribune.com.pk/story/2383437/slain-journalist-arshad-sharifs-body-arrives-in-islamabad,social,"A plane carrying body of slain journalist Arshad Sharif, who was killed by Kenyan police, landed in Islamabad early Wednesday.

Journalists and Pakistan Tehreek-e-Insaf (PTI) leaders reached the airport to receive the body of renowned journalist.",g141
eid142,arshad shreef,c142,https://www.bbc.com/news/world-africa-63372440,social,Pakistani journalist Arshad Sharif killed in police shooting in Kenya,g142
eid143,arshad shreef,c143,https://www.arabnews.pk/node/2194031/pakistan,health,We've also obtained both postmortem reports from autopsies in Kenya & Pakistan,g143
eid144,arshad shreef,c144,https://www.bbc.com/news/world-africa-63426794,social,"The shooting dead of a prominent Pakistani investigative journalist by police in Kenya caused outrage in his home country, leaving many wondering how such a thing could have happened.",g144
eid145,arshad shreef,c145,https://www.rfi.fr/en/africa/20221025-body-of-veteran-pakistani-journalist-repatriated-from-kenya-today-was-working-on-documentary,social,"Body of slain renowned Investigative journalist ArshadSharif has been found at Kenya's Chiromo Mortuary, 78 Kilometres from where Police say shooting happened. Body appears to have two gunshot wounds",g145
eid146,arshad shreef,c146,https://www.thenews.com.pk/latest/1010543-mother-raises-questions-over-arshad-sharifs-torture-before-death,social,Arshad shareef four nails and one kidney we’re already taken out in Kenya,g146
eid147,arshad shreef,c147,https://www.sochfactcheck.com/photo-does-not-show-arshad-sharifs-coffin/,social,A photo shows slain journalist Arshad Sharif’s family gathered around his coffin to mourn his loss. ,g147
eid148,arshad shreef,c148,https://www.sochfactcheck.com/viral-video-does-not-show-slain-journalist-arshad-sharifs-mother/,social,A video shows journalist Arshad Sharif’s mother. He was recently killed in Kenya.,g148
eid149,arshad shreef,c149,https://www.sochfactcheck.com/6440-2/,social," Viral images and videos of a girl crying over a body in a coffin apparently show the daughter of journalist Arshad Sharif, who was recently killed in Kenya",g149
eid150,chinesefasttrain,c150,https://www.sochfactcheck.com/chinas-ultra-high-speed-maglev-train-is-not-coming-to-pakistan-soon-karachi-islamabad-travel/,technology,China’s ultra high-speed maglev train is “coming soon” to Pakistan and will reduce the travelling time between Islamabad and Karachi to 1.5 hours.,g150
eid151,crusteezdount,c151,https://www.geo.tv/latest/566094-fact-check-no-donut-shop-not-sealed-following-incident-involving-chief-justice,political,"On September 26, a social media user claimed that a few days after Chief Justice Qazi Faez Isa was “verbally abused” by a worker at Crusteez Donuts in Islamabad, the bakery had been sealed. The post has been viewed over 23,000 times and liked over 300 times to date.",g151
eid152,crusteezdount,c152,https://theprint.in/go-to-pakistan/pakistan-chief-justice-denied-a-donut-by-staff-people-want-donut-revolution-now/2287466/,political,"the Chief Justice of Pakistan purchasing pastries with his wife and daughter. The employee is seen asking the CJP, “Are you Faez Isa?” When he confirms his identity, the staff responds with a derogatory remark, saying, “Lanat ho aap pe (Damn you).”",g152
eid153,crusteezdount,c153,https://enews.hamariweb.com/pakistan/crusteez-donuts-islamabad-issues-apology-amid-ongoing-controversy/,political,???? ???? ?? ???? ???? ???? ??????? ?? ?????? ???? ?? ?? ??? ???? ????? ??????? ?? ?????? ?? ?????? ??????? ???? ?? ???? ????? ???? ?????? ?? ???,g153
eid154,Dream bazar karachi,c154,https://www.hindustantimes.com/trending/pakistan-dream-bazaar-mall-looted-by-out-of-control-mob-on-opening-day-viral-videos-101725263972899.html,social,"Newly opened Dream Bazaar Mall built by a foreign businessman in #Pakistan's Karachi Gulistan-e-Johar looted & vandalised by locals during its grand opening. Mall offered special discounts for locals, which led to massive crowds storming into the venue. Police accused of acting like bystanders",g154
eid155,Dream bazar karachi,c155,https://timesofindia.indiatimes.com/world/pakistan/matter-of-minutes-frenzied-mob-loots-karachis-dream-bazaar-in-pakistan-video-goes-viral/articleshow/112974470.cms,social,"Pakistani people looted newly opened Mall within 30 minutes of its opening  !!!
Mall closed within a hour of opening !!!",g155
eid156,Dream bazar karachi,c156,https://economictimes.indiatimes.com/news/international/world-news/dream-bazaar-turns-into-a-nightmare-mob-loots-karachi-mall-in-minutes-video-goes-viral/articleshow/112986259.cms?from=mdr,social,Dream Bazaar' turns into a nightmare: Mob loots Karachi mall in minutes,g156
eid157,Dream bazar karachi,c157,https://arynews.tv/karachi-dream-bazaar-opening-sale-chaos/,social,"Message by team Dream Bazar ??
Dream Bazar will officially only Open for Family only",g157
eid158,Human milk bank,c158,https://www.dawn.com/news/1841568,religion,"Pakistan's first Human Milk Bank, launched by the Sindh Institute of Child Health & Neonatology (SICHN), has been suspended after a new fatwa. 
The project aimed to provide breast milk to premature babies below 34 weeks and 2kg, who can't get adequate nutrition from their mothers. 
SICHN will seek guidance from Darul Uloom Karachi and the Council of Islamic Ideology. 
Initially endorsed with conditions in December 2023, a revised fatwa on June 16 led to the project's suspension. 
The milk bank intended to offer free, Shariah-compliant breast milk exclusively from Muslim donors.",g158
eid159,Human milk bank,c159,https://www.dawn.com/news/1846601,religion,Extremely unfortunate that a human milk bank project in sindh was stopped on some fatwa.,g159
eid160,Human milk bank,c160,https://www.jpost.com/international/article-807599,religion,Pakistan’s first human milk bank in Karachi suspended operations after religious scholars deemed it haram. ,g160
eid161,Human milk bank,c161,https://www.biztoday.news/2024/06/09/first-sharia-compliant-human-milk-bank-launched/,religion,First Sharia-Compliant Human Milk Bank launched,g161
eid162,imrankhan appointed as vice chanceller,c162,https://www.sochfactcheck.com/clickbait-videos-falsely-claim-imran-khan-appointed-oxford-universitys-chancellor/,education, Imran Khan has been appointed as the chancellor of the University of Oxford.,g162
eid163,imrankhan appointed as vice chanceller,c163,https://www.voanews.com/a/pakistan-s-jailed-ex-pm-khan-seeks-oxford-university-chancellor-role-/7747135.html,education,Former Pakistani PM Imran Khan will run for chancellor of Oxford University from his prison cell in Pakistan.,g163
eid164,karsaz,c164,https://www.sochfactcheck.com/natasha-danish-iqbal-is-not-on-the-board-of-directors-of-metro-power-group-karsaz-accident/,accident,"Natasha Danish Iqbal, who is responsible for the accident on Karsaz Road, is on the board of directors of Metro Power Group",g164
eid165,karsaz,c165,https://www.dawn.com/news/1857451,accident,Karsaz accident suspect gets bail after victims’ heirs ‘pardon’ her.Lawyers said suspect Natasha would not be released as she was facing a separate drug case.,g165
eid166,karsaz,c166,https://www.dawn.com/news/1858842/judge-rejects-bail-plea-of-karsaz-accident-suspect-in-drug-case,accident,Judge rejects bail plea of Karsaz accident suspect in drug case,g166
eid167,karsaz,c167,https://www.pakistantoday.com.pk/2024/09/06/victims-family-forgives-suspect-natasha-danish-in-karsaz-road-accident-case/,accident,"Victim’s family forgives suspect Natasha Danish in Karsaz road accident case.  “We have reached an agreement and have pardoned the suspect. We forgive in the name of Allah, the most merciful and compassionate.” ",g167
eid168,karsaz,c168,https://www.dawn.com/news/1855299,health,Medical report found Karsaz accident driver was ‘under influence of crystal meth’: Sindh IG,g168
eid169,karsaz,c169,https://www.sochfactcheck.com/image-of-karsaz-accident-driver-natasha-danish-is-ai-generated/,social,Karsaz accident driver Natasha Danish Ali held up the victory sign outside court. Images of her holding up the sign insinuate that she has been acquitted of the case.,g169
eid170,karsaz,c170,https://dialoguepakistan.com/en/pakistan/netizens-praise-young-boy-standing-up-for-karsaz-road-accident-victims-against-influential-family,accident,Netizens praise young boy standing up for Karsaz road accident victims against influential family,g170
eid171,karsaz,c171,https://dailyausaf.com/en/pakistan/natasha-danishs-jail-photos-from-karsaz-incident-go-viral/,accident,Natasha Danish’s Jail photos from Karsaz incident go viral,g171
eid172,karsaz,c172,https://www.dialoguepakistan.com/en/pakistan/karsaz-accident-accused-natasha-to-appear-in-court-via-videolink-due-to-security-concerns,accident,Karsaz accident case: Natasha gets special permission to appear in court via video link,g172
eid173,Nawaz shrief university justice for minahil,c173,https://tribune.com.pk/story/2498637/university-closed-after-female-students-death-in-bus-accident-in-multan,accident,"A girl Minahil died in Mian Nawaz Sharif agriculture university Multan in a university bus accident. This is the body of the dead girl placed on road like this for hours in this heat and not returning the body to parents to get them sign the papers so they cannot file case against university. Please raise voice for Minahil 

They University bus not only killed the girl but thats how they desecrated her deadbody. ",g173
eid174,Nawaz shrief university justice for minahil,c174,https://tribune.com.pk/story/2498637/university-closed-after-female-students-death-in-bus-accident-in-multan,accident,???? ???? ???? ????????? ??? 22 ???? ????? ?? ????????? ?? ?? ??? ?? ?????? ?? ???????? ????? ?? ?? ??????? ???? ?? ?????? ?? ???,g174
eid175,Nawaz shrief university justice for minahil,c175,https://fuchsiamagazine.com/what-we-know-about-the-tragic-death-of-a-university-student-in-multan/,accident,?? ??? MNAU ??? ???? ???? ???????? ??? ?? ???? ???? ???? ?? ???? ?????? ?? ?????? ????? ????,g175
eid176,Nawaz shrief university justice for minahil,c176,https://www.samaa.tv/2087321347-multan-students-protest-agriculture-varsity-closed-after-death-of-female-student,accident,? ?? ??? ??? ??? ???? ???? ????????? ????? ??? ????? ??? ?? ????(???? ????? ?? ????????? ??? ???) ?? ????????? ?? ?? ???????? ??? ?? ??? ???? ???? ?? ??????? ?? ???? ????? ???? ?? ?? ???? ?? ????? ?? ????,g176
eid177,Nawaz shrief university justice for minahil,c177,https://tribune.com.pk/story/2498637/university-closed-after-female-students-death-in-bus-accident-in-multan,accident,????? ??? ???? ???? ????????? ????????? ????? ??? ??? ????? ?? ????????? ?? ?? ??? ??? ???? ????  ???????? ????? ??? ????????? ???????? ?? ???? ?????? ??? ???? ???????? !???? ???????? ??? ????????? ???????? ?? ???? ??????? ???????,g177
eid178,PM free milk program,c178,https://www.geo.tv/latest/562693-fact-check-no-truth-to-claims-that-punjabs-free-milk-program-for-schools-is-cancelled,health,"On August 25, a social media user on X (formerly Twitter) posted: “Breaking news. The programme to provide free milk to children in schools has been suspended till next year.”",g178
eid179,PM free milk program,c179,https://www.dawn.com/news/1857201,health,CM Maryam launches school nutrition programme from DG Khan,g179
eid180,PM free milk program,c180,https://dailytimes.com.pk/1224075/eat-drink-and-study-punjab-cm-launches-school-nutrition-program/,health,"‘Eat, drink and study’: Punjab CM launches school nutrition program",g180
eid181,PM free milk program,c181,https://www.geo.tv/latest/562693-fact-check-no-truth-to-claims-that-punjabs-free-milk-program-for-schools-is-cancelled,health,??? ????? ????? ???????? ??????? ?? ????? ????? ?? ????: 5 ????? ?? ?????? ??? ????? ??? ??? ???? ???? ?? 3?527 ???? ?????? ??? ??? ???? ????? ??? ???? ???,g181
eid182,PM free milk program,c182,https://www.linkedin.com/posts/uprise-pakistan_punjabeducation-studentnutrition-educationreforms-activity-7212492464081801216-gAYq,health,Chief Minister Maryam Nawaz of Punjab has mandated the distribution of boxed milk to Schools Students Up to 5 Grade. ,g182
eid183,PM free milk program,c183,https://www.dawn.com/news/1857201,health,"Chief Minister Maryam Nawaz inaugurated Punjab's first and largest school nutrition program at Dera Ghazi Khan Primary School.
Personally distributed milk packs to students, opened them herself, and ensured they finished under her supervision.",g183
eid184,PM free milk program,c184,https://www.dawn.com/news/1857201,health,???? ?? ?????? ??? ???? ???? ?? ??? ??? ???? ???? ?? ????? ?? ??? ???,g184
eid185,PM free milk program,c185,https://www.dawn.com/news/1857201,political,???? ???? ?? ???? ?? ????? ???? ???????? ?? ?? ??? ???,g185
eid186,student federation program,c186,https://www.sochfactcheck.com/did-the-pakistan-students-federation-announce-protests-for-imran-khans-release-insaf-pti/,political,The Pakistan Students Federation has demanded Imran Khan’s release by 30 August and warned of protests if their demand is not met.,g186
eid187,Xbanned pakistan,c187,https://www.sochfactcheck.com/x-has-not-been-unbanned-in-pakistan/,technology,"After a 7-month hiatus, X is now accessible in Pakistan after the Pakistan Telecommunication Authority (PTA) formally lifted the ban on the social media platform. It may be unclear whether this restoration is permanent but users can connect and post again.",g187
eid188,Xbanned pakistan,c188,https://www.aljazeera.com/news/2024/4/17/pakistan-says-it-blocked-social-media-platform-x-over-national-security,technology,Pakistan says it blocked social media platform X over ‘national security’,g188
