claim-id,claim,gold-evidence,retrieved,MRR@10
c114,Yemen’s Houthis announced a ceasefire with Israel following Donald Trump’s victory in the 2024 US Presidential Election.,g114,"['g114', 'page_196', 'page_3993', 'page_6926', 'page_5613', 'page_4047', 'page_8264', 'page_7968', 'page_9514', 'page_3590']",1.0
c115,FIR confirmed. Police officer caught selling drugs in Multan,g115,"['g115', 'page_10100', 'page_11294', 'page_1510', 'page_2042', 'page_4403', 'page_7846', 'page_10103', 'page_7213', 'page_2156']",1.0
c116,President Asif Ali Zardari hospitalised in Karachi,g116,"['g116', 'page_3312', 'page_3273', 'page_3165', 'page_2901', 'page_3340', 'page_3300', 'page_3326', 'page_3176', 'page_3327']",1.0
c117,"The Balochistan government has banned night-time travel — mostly for public transport — on major highways in several districts amid a deteriorating security situation, it emerged on Sunday.",g117,"['g117', 'page_9860', 'page_5271', 'page_2682', 'page_9733', 'page_4236', 'page_9718', 'page_9685', 'page_3536', 'page_9597']",1.0
c118,PIA aircraft’s missing wheel found at Karachi airport,g118,"['g118', 'page_4084', 'page_4081', 'page_4126', 'page_1453', 'page_7701', 'page_10326', 'page_8129', 'page_5188', 'page_10643']",1.0
c119,"The government has announced a three-day holiday for Eidul Fitr from March 31 to April 2, according to a notification issued on Wednesday.",g119,"['g119', 'page_3510', 'page_543', 'page_3955', 'page_4612', 'page_3428', 'page_1610', 'page_4187', 'page_4194', 'page_3056']",1.0
c120,"Chief Minister Punjab Maryam Nawaz has ordered for comprehensive development and beautification of the entire Rawalpindi Division, with a special focus on cleanliness, park improvements and removal of encroachments.",g120,"['g120', 'page_5173', 'page_4632', 'page_10497', 'page_7376', 'page_3519', 'page_7122', 'page_5797', 'page_8854', 'page_9033']",1.0
c121,5 dead as freak hailstorm upends life in country’s north,g121,"['g121', 'page_2911', 'page_3222', 'page_4048', 'page_4993', 'page_2690', 'page_2657', 'page_2672', 'page_1894', 'page_7529']",1.0
c122,Fast-food chain worker killed in Punjab’s Sheikhupura,g122,"['g122', 'page_9079', 'page_9025', 'page_9144', 'page_7413', 'page_241', 'page_1509', 'page_11159', 'page_11099', 'page_11048']",1.0
c123,"5.5 magnitude earthquake jolts Islamabad, Lahore and other parts of Pakistan",g123,"['g123', 'page_9097', 'page_3509', 'page_2749', 'page_2916', 'page_2583', 'page_9264', 'page_11475', 'page_8349', 'page_3696']",1.0
c124,"Federal Urdu University awarded Arshad Nadeem with Rs2,000. ",g124,"['g124', 'page_341', 'g129', 'g136', 'g133', 'page_2172', 'page_1398', 'page_7061', 'page_8098', 'page_2419']",1.0
c125,Arshad Nadeem hugged Maryam Nawaz when she visited the athlete’s residence to congratulate him on his victory in the 2024 Olympics.,g125,"['g125', 'page_340', 'g135', 'g136', 'page_270', 'page_8098', 'g124', 'g129', 'page_1398', 'g133']",1.0
c126,"ارشد ندیم نے فائنل کے دوران غیر معمولی کارکردگی کا مظاہرہ پیش کرتے ہوئے 92.97 میٹر تھرو کے ساتھ مردوں کے جیولین تھرو کا سابقہ ریکارڈ توڑ کر اولمپک کی تاریخ میں اپنا نام لکھوادیا۔

انہوں نے 16 سال قبل بنایا گیا ناروے کے ایندریاس تھورڈکلسین کا بیجنگ اولمپکس 2008 میں 90.57 میٹر کی تھرو کا اولمپک ریکارڈ توڑا۔",g126,"['g131', 'g130', 'page_497', 'page_552', 'g132', 'page_509', 'g137', 'g126', 'page_546', 'page_551']",0.125
c127,"In an interview following her son’s gold medal win at the Olympics 2024, Arshad Nadeem’s mother described Neeraj Chopra as like a son to her, expressing that he is both a friend and a brother to Arshad.",g127,"['g127', 'page_270', 'g125', 'page_8098', 'g128', 'page_340', 'page_2172', 'g129', 'page_2419', 'page_1398']",1.0
c128,"Fierce rivals, good friends and podium finish: The Neeraj-Arshad show has a ‘big message’ for India, Pakistan youth",g128,"['g128', 'g127', 'page_8098', 'page_6325', 'page_7767', 'page_6449', 'page_3679', 'page_5674', 'page_5591', 'page_8689']",1.0
c129,ISLAMABAD: President Asif Ali Zardari conferred the Hilal-i-Imtiaz upon Olympic javelin throw champion Arshad Nadeem on Thursday in recognition of his gold medal-winning performance in recent Paris Olympics.,g129,"['g129', 'g136', 'g133', 'g124', 'g135', 'page_2174', 'g125', 'page_2172', 'page_1398', 'page_8098']",1.0
c130,تحصیل ہیڈکوارٹر  (ٹی ایچ کیو) اسپتال میاں چنوں کو  پیرس اولمپکس میں پاکستان کو گولڈ میڈل جتوانے والے ایتھلیٹ ارشد ندیم کے نام سے منسوب کردیا گیا۔,g130,"['g130', 'page_552', 'g137', 'g126', 'page_546', 'page_549', 'g132', 'g131', 'page_509', 'page_508']",1.0
c131,ابرارالحق نےگولڈ میڈلسٹ ارشد ندیم کو 15 لاکھ روپے نقد انعام دیا,g131,"['g131', 'g132', 'page_549', 'g126', 'g130', 'g137', 'page_546', 'page_509', 'page_551', 'page_511']",1.0
c132,وزیر اعلیٰ کے پی کا ارشد ندیم کو اپنی جیب سے 50 لاکھ روپے بطور انعام دینے کا اعلان,g132,"['g132', 'g130', 'g137', 'page_509', 'g131', 'page_511', 'g126', 'page_508', 'page_546', 'page_497']",1.0
c133,Olympian Arshad Nadeem receives car gift from private motor company,g133,"['g133', 'g136', 'g124', 'g129', 'page_341', 'page_8098', 'g135', 'page_565', 'page_1398', 'page_270']",1.0
c134,"""I prayed for my husband's success for three days without sleep"", says Arshad Nadeem's wife",g134,"['g134', 'page_270', 'page_8098', 'page_340', 'page_3335', 'page_6370', 'page_8211', 'page_6479', 'page_5031', 'page_3997']",1.0
c135,Javelin superstar Arshad Nadeem arrived in his hometown Mian Channu to a hero’s welcome on Sunday afternoon as crowds gathered to meet the Olympic champion.,g135,"['g135', 'g129', 'g125', 'g136', 'g133', 'page_340', 'page_1398', 'g128', 'page_8098', 'page_565']",1.0
c136,Arshad Nadeem Motivational speech for youngster at WAPDA house Lahore,g136,"['g136', 'g133', 'g135', 'page_8098', 'g129', 'g124', 'page_7061', 'page_1398', 'page_9398', 'page_8374']",1.0
c137,قومی ہیرو ارشد ندیم کے طیارے کو وطن واپسی پر خصوصی واٹر کینن سلیوٹ پیش,g137,"['g137', 'g132', 'g130', 'g131', 'g126', 'page_546', 'page_509', 'page_549', 'page_511', 'page_497']",1.0
c138,Several citizens and activists stood in solidarity as they mourned Sharif's death.,g138,"['g138', 'g139', 'g147', 'page_9383', 'page_9585', 'g170', 'page_9064', 'page_8599', 'page_3335', 'page_8376']",1.0
c139,The funeral prayers of senior journalist Arshad Sharif were offered at Shah Faisal Mosque in Islamabad on Thursday.,g139,"['g139', 'g144', 'g138', 'g141', 'g143', 'page_1295', 'g147', 'page_3584', 'g111', 'page_8241']",1.0
c140,This is the video of #arshadshareef a few days before he left Pakistan. ,g140,"['page_2172', 'page_10222', 'page_1021', 'g41', 'page_830', 'page_1012', 'page_359', 'page_1159', 'page_4388', 'page_7767']",0.0
c141,"A plane carrying body of slain journalist Arshad Sharif, who was killed by Kenyan police, landed in Islamabad early Wednesday.

Journalists and Pakistan Tehreek-e-Insaf (PTI) leaders reached the airport to receive the body of renowned journalist.",g141,"['g141', 'g145', 'g138', 'g143', 'g144', 'g139', 'g140', 'g147', 'page_1295', 'page_1339']",1.0
c142,Pakistani journalist Arshad Sharif killed in police shooting in Kenya,g142,"['g140', 'g144', 'g145', 'g141', 'g143', 'g139', 'g138', 'page_1339', 'g148', 'page_1292']",0.0
c143,We've also obtained both postmortem reports from autopsies in Kenya & Pakistan,g143,"['g143', 'g138', 'g144', 'g140', 'g145', 'g141', 'page_5562', 'page_7132', 'page_9025', 'page_8397']",1.0
c144,"The shooting dead of a prominent Pakistani investigative journalist by police in Kenya caused outrage in his home country, leaving many wondering how such a thing could have happened.",g144,"['g144', 'g140', 'g145', 'g143', 'g138', 'g139', 'g141', 'g149', 'g146', 'page_1339']",1.0
c145,"Body of slain renowned Investigative journalist ArshadSharif has been found at Kenya's Chiromo Mortuary, 78 Kilometres from where Police say shooting happened. Body appears to have two gunshot wounds",g145,"['g141', 'g143', 'g145', 'g144', 'g138', 'g140', 'g139', 'g146', 'g148', 'page_1339']",0.3333333333333333
c146,Arshad shareef four nails and one kidney we’re already taken out in Kenya,g146,"['g146', 'g144', 'g145', 'g140', 'g138', 'g143', 'page_1339', 'page_7026', 'page_706', 'page_821']",1.0
c147,A photo shows slain journalist Arshad Sharif’s family gathered around his coffin to mourn his loss. ,g147,"['g147', 'page_1295', 'g149', 'g141', 'g143', 'g138', 'g146', 'g139', 'page_1315', 'g111']",1.0
c148,A video shows journalist Arshad Sharif’s mother. He was recently killed in Kenya.,g148,"['g148', 'g149', 'page_1292', 'g146', 'g143', 'g145', 'g140', 'g144', 'g141', 'g138']",1.0
c149," Viral images and videos of a girl crying over a body in a coffin apparently show the daughter of journalist Arshad Sharif, who was recently killed in Kenya",g149,"['g149', 'page_1315', 'g148', 'page_1292', 'g147', 'page_1295', 'g143', 'g138', 'g146', 'page_1339']",1.0
c150,China’s ultra high-speed maglev train is “coming soon” to Pakistan and will reduce the travelling time between Islamabad and Karachi to 1.5 hours.,g150,"['g150', 'page_294', 'page_3746', 'page_7494', 'page_3882', 'page_6759', 'page_7133', 'page_7507', 'page_6104', 'page_6040']",1.0
c151,"On September 26, a social media user claimed that a few days after Chief Justice Qazi Faez Isa was “verbally abused” by a worker at Crusteez Donuts in Islamabad, the bakery had been sealed. The post has been viewed over 23,000 times and liked over 300 times to date.",g151,"['g151', 'page_279', 'page_271', 'page_2144', 'g153', 'g23', 'page_248', 'page_259', 'page_2171', 'page_2182']",1.0
c152,"the Chief Justice of Pakistan purchasing pastries with his wife and daughter. The employee is seen asking the CJP, “Are you Faez Isa?” When he confirms his identity, the staff responds with a derogatory remark, saying, “Lanat ho aap pe (Damn you).”",g152,"['g152', 'page_279', 'page_2144', 'page_271', 'g151', 'g153', 'page_2057', 'page_248', 'page_259', 'page_120']",1.0
c153,قاضی صاحب کے ساتھ ہونے والی بدتمیزی کی بھرپور مذمت کی ہے اور اپنے بیکری ملازمین کی ٹریننگ کا بھرپور بندوبست کریں گے تاکہ آئندہ ایسے واقعات نا ہوں,g153,"['g126', 'g137', 'g131', 'page_549', 'page_511', 'g132', 'page_509', 'page_552', 'g130', 'page_546']",0.0
c154,"Newly opened Dream Bazaar Mall built by a foreign businessman in #Pakistan's Karachi Gulistan-e-Johar looted & vandalised by locals during its grand opening. Mall offered special discounts for locals, which led to massive crowds storming into the venue. Police accused of acting like bystanders",g154,"['g155', 'g156', 'g154', 'g157', 'page_1541', 'page_8854', 'page_1568', 'page_1801', 'page_5633', 'page_3586']",0.3333333333333333
c155,"Pakistani people looted newly opened Mall within 30 minutes of its opening  !!!
Mall closed within a hour of opening !!!",g155,"['g154', 'g155', 'g156', 'g157', 'page_9811', 'page_9718', 'page_9592', 'page_9638', 'page_11069', 'page_3704']",0.5
c156,Dream Bazaar' turns into a nightmare: Mob loots Karachi mall in minutes,g156,"['g156', 'g154', 'g155', 'g157', 'page_3011', 'page_7258', 'page_4747', 'page_3857', 'page_4325', 'page_3586']",1.0
c157,"Message by team Dream Bazar ❤️
Dream Bazar will officially only Open for Family only",g157,"['page_3897', 'page_5286', 'page_9977', 'page_8330', 'page_3363', 'page_9811', 'page_4005', 'page_10460', 'page_3686', 'page_9762']",0.0
c158,"Pakistan's first Human Milk Bank, launched by the Sindh Institute of Child Health & Neonatology (SICHN), has been suspended after a new fatwa. 
The project aimed to provide breast milk to premature babies below 34 weeks and 2kg, who can't get adequate nutrition from their mothers. 
SICHN will seek guidance from Darul Uloom Karachi and the Council of Islamic Ideology. 
Initially endorsed with conditions in December 2023, a revised fatwa on June 16 led to the project's suspension. 
The milk bank intended to offer free, Shariah-compliant breast milk exclusively from Muslim donors.",g158,"['g158', 'g161', 'g160', 'g159', 'page_6462', 'g183', 'g184', 'g178', 'g180', 'page_8310']",1.0
c159,Extremely unfortunate that a human milk bank project in sindh was stopped on some fatwa.,g159,"['g158', 'g160', 'g161', 'g159', 'g178', 'g181', 'page_6462', 'page_659', 'page_775', 'page_952']",0.25
c160,Pakistan’s first human milk bank in Karachi suspended operations after religious scholars deemed it haram. ,g160,"['g160', 'g158', 'g161', 'g159', 'page_6462', 'g178', 'g181', 'page_3623', 'page_775', 'page_194']",1.0
c161,First Sharia-Compliant Human Milk Bank launched,g161,"['g161', 'g158', 'g160', 'g159', 'g183', 'g184', 'g180', 'page_6462', 'page_8563', 'page_8310']",1.0
c162, Imran Khan has been appointed as the chancellor of the University of Oxford.,g162,"['page_280', 'g162', 'g163', 'page_623', 'page_288', 'page_11532', 'page_180', 'page_9434', 'page_1322', 'page_9209']",0.5
c163,Former Pakistani PM Imran Khan will run for chancellor of Oxford University from his prison cell in Pakistan.,g163,"['g163', 'page_11532', 'g162', 'page_623', 'page_280', 'page_288', 'page_180', 'page_840', 'page_560', 'page_632']",1.0
c164,"Natasha Danish Iqbal, who is responsible for the accident on Karsaz Road, is on the board of directors of Metro Power Group",g164,"['g164', 'page_333', 'g172', 'g167', 'g170', 'g169', 'page_348', 'g168', 'page_329', 'g77']",1.0
c165,Karsaz accident suspect gets bail after victims’ heirs ‘pardon’ her.Lawyers said suspect Natasha would not be released as she was facing a separate drug case.,g165,"['g165', 'g166', 'g167', 'g172', 'g170', 'g169', 'page_348', 'page_329', 'g164', 'page_333']",1.0
c166,Judge rejects bail plea of Karsaz accident suspect in drug case,g166,"['g166', 'g165', 'g167', 'g172', 'g170', 'g168', 'page_9457', 'page_2552', 'page_8847', 'page_2812']",1.0
c167,"Victim’s family forgives suspect Natasha Danish in Karsaz road accident case.  “We have reached an agreement and have pardoned the suspect. We forgive in the name of Allah, the most merciful and compassionate.” ",g167,"['g167', 'g165', 'g172', 'g170', 'g171', 'g164', 'page_333', 'page_329', 'g169', 'page_348']",1.0
c168,Medical report found Karsaz accident driver was ‘under influence of crystal meth’: Sindh IG,g168,"['g168', 'page_329', 'page_2177', 'g167', 'g164', 'g169', 'page_348', 'page_2178', 'g172', 'page_7155']",1.0
c169,Karsaz accident driver Natasha Danish Ali held up the victory sign outside court. Images of her holding up the sign insinuate that she has been acquitted of the case.,g169,"['g169', 'page_348', 'page_329', 'g167', 'g171', 'g77', 'g172', 'g165', 'g164', 'page_281']",1.0
c170,Netizens praise young boy standing up for Karsaz road accident victims against influential family,g170,"['g170', 'g167', 'g172', 'g165', 'page_5230', 'page_5464', 'page_8599', 'page_4412', 'page_3335', 'page_11676']",1.0
c171,Natasha Danish’s Jail photos from Karsaz incident go viral,g171,"['g171', 'page_329', 'page_348', 'g77', 'g169', 'page_281', 'page_333', 'g172', 'page_314', 'page_868']",1.0
c172,Karsaz accident case: Natasha gets special permission to appear in court via video link,g172,"['g172', 'g165', 'g169', 'g170', 'g171', 'page_348', 'g77', 'g164', 'page_333', 'page_281']",1.0
c173,"A girl Minahil died in Mian Nawaz Sharif agriculture university Multan in a university bus accident. This is the body of the dead girl placed on road like this for hours in this heat and not returning the body to parents to get them sign the papers so they cannot file case against university. Please raise voice for Minahil 

They University bus not only killed the girl but thats how they desecrated her deadbody. ",g173,"['g176', 'g173', 'g174', 'g177', 'g175', 'page_9082', 'g165', 'g167', 'page_241', 'page_100']",0.5
c174,نواز شریف زرعی یونیورسٹی میں 22 سالہ منائل کا یونیورسٹی بس کی ٹکر سے انتقال کا معاملہ،، پولیس نے بس ڈرائیور عامر کو گرفتار کر لیا,g174,"['g137', 'g132', 'page_509', 'g130', 'g126', 'g131', 'page_511', 'page_546', 'page_551', 'page_507']",0.0
c175,کل صبح MNAU میں ہونے والے ایکسیڈنٹ میں جو لڑکی شہید ہوئی وہ اپنے والدین کی اکلوتی اولاد تھی۔,g175,"['g130', 'g126', 'page_552', 'g131', 'page_551', 'g132', 'page_509', 'page_549', 'page_546', 'g137']",0.0
c176,۔ کل صبح آٹھ بجے نواز شریف یونیورسٹی ملتان میں مناہل نام کی لڑکی(جوکہ بائیک پر یونیورسٹی آتی تھی) کا یونیورسٹی بس سے ایکسیڈنٹ ہوا جس میں ساری غلطی بس ڈرائیور کی تھی۔ مناہل موقع پر ہی اللہ کو پیاری ہو گئی۔,g176,"['g131', 'g130', 'g137', 'page_546', 'g126', 'page_509', 'g132', 'page_511', 'page_549', 'page_497']",0.0
c177,گزشتہ روز نواز شریف ایگریکلچر یونیورسٹی ملتان میں ایک طالبہ کو یونیورسٹی بس سے کچل دیے جانے والے  افسوسناک حادثے میں یونیورسٹی انتظامیہ کے خلاف احتجاج کیا گیا۔ الحمدللہ !ضلعی انتظامیہ اور یونیورسٹی انتظامیہ سے اپنے مطالبات منوائے۔,g177,"['page_497', 'g130', 'g132', 'g137', 'g131', 'page_546', 'page_509', 'g126', 'page_511', 'page_551']",0.0
c178,"On August 25, a social media user on X (formerly Twitter) posted: “Breaking news. The programme to provide free milk to children in schools has been suspended till next year.”",g178,"['g178', 'g181', 'g187', 'page_316', 'g188', 'g183', 'g184', 'page_1570', 'page_10488', 'page_8271']",1.0
c179,CM Maryam launches school nutrition programme from DG Khan,g179,"['g179', 'g185', 'g180', 'g183', 'g184', 'g178', 'g181', 'page_7130', 'page_7223', 'g182']",1.0
c180,"‘Eat, drink and study’: Punjab CM launches school nutrition program",g180,"['g180', 'g179', 'g185', 'g183', 'g184', 'g178', 'g181', 'g182', 'page_8723', 'page_11259']",1.0
c181,چیف منسٹر پنجاب نیوٹریشن پروگرام کا جنوبی پنجاب سے آغاز: 5 ستمبر سے روزانہ تین اضلاع میں چار لاکھ طلبہ کو 3،527 پبلک سکولوں میں مفت دودھ فراہم کیا جائے گا۔,g181,"['page_510', 'page_509', 'page_511', 'g130', 'g126', 'g137', 'g131', 'page_546', 'page_513', 'g132']",0.0
c182,Chief Minister Maryam Nawaz of Punjab has mandated the distribution of boxed milk to Schools Students Up to 5 Grade. ,g182,"['g182', 'g180', 'g178', 'g181', 'g183', 'g184', 'g179', 'g185', 'page_11758', 'g161']",1.0
c183,"Chief Minister Maryam Nawaz inaugurated Punjab's first and largest school nutrition program at Dera Ghazi Khan Primary School.
Personally distributed milk packs to students, opened them herself, and ensured they finished under her supervision.",g183,"['g180', 'g179', 'g185', 'g183', 'g184', 'g182', 'g178', 'g181', 'page_2897', 'g161']",0.25
c184,بچوں نے سکولوں میں مریم نواز کا دیا ہوا دودھ پینے سے انکار کر دیا ۔۔۔,g184,"['g126', 'page_549', 'g130', 'g131', 'g132', 'page_551', 'page_509', 'g137', 'page_546', 'page_511']",0.0
c185,مریم نواز کے دودھ کا ٹھیکہ فوجی فاونڈیشن کو مل گیا ہے،,g185,"['g130', 'g132', 'g126', 'page_509', 'g131', 'page_546', 'g137', 'page_552', 'page_497', 'page_511']",0.0
c186,The Pakistan Students Federation has demanded Imran Khan’s release by 30 August and warned of protests if their demand is not met.,g186,"['g186', 'page_328', 'page_891', 'page_560', 'page_398', 'g39', 'page_632', 'page_423', 'page_1038', 'page_1021']",1.0
c187,"After a 7-month hiatus, X is now accessible in Pakistan after the Pakistan Telecommunication Authority (PTA) formally lifted the ban on the social media platform. It may be unclear whether this restoration is permanent but users can connect and post again.",g187,"['g187', 'page_316', 'g188', 'page_3654', 'page_9458', 'page_10084', 'page_7664', 'page_594', 'page_3497', 'page_8756']",1.0
c188,Pakistan says it blocked social media platform X over ‘national security’,g188,"['g188', 'page_574', 'page_9298', 'g187', 'page_316', 'page_7664', 'page_594', 'page_558', 'page_10757', 'page_9000']",1.0
